Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
SRR12183485_2										27.189494127439197	14.452510866549522	21.32386941644317	0.0	0.0	0.0	0.0
SRR12183496_1										20.757540870366107	11.414920561823624	37.57483306470182	5.664287358968455	0.0	0.0	0.0
SRR12183496_2										28.053764678793456	17.407322127561596	16.374050195717246	0.0	0.0	0.0	0.0
SRR12183504_1										14.089633519490985	7.665805340223946	26.551082214998196	19.27148453780112	13.364452224167152	0.0	0.0
SRR12183504_2										17.662749020588482	15.287155122113862	37.98171765163513	0.0	0.0	0.0	0.0
SRR12183505_1										23.285943200027276	11.489550305137909	36.350618799222666	1.7660495721250553	0.0	0.0	0.0
SRR12183505_2										30.54106576659507	21.50625617946882	7.401725137226825	0.0	0.0	0.0	0.0
SRR12183516_1										11.944502597872217	6.246312544011571	13.832480063947624	14.376796147916945	27.977085434786748	12.108178063681176	0.0
SRR12183516_2										12.494528291113944	8.74521820223436	32.202196296366786	22.36453952001218	0.0	0.0	0.0
SRR12183527_1										13.19292365699922	8.765448555595757	22.1411840877497	14.541161236265307	24.12545464932493	0.0	0.0
SRR12183527_2										14.26694342353322	13.657570506350808	38.99986669967437	3.1363662331232263	0.0	0.0	0.0
SRR12183532_1										17.712328767123285	10.678082191780822	41.95205479452055	4.945205479452055	0.0	0.0	0.0
SRR12183532_2										39.821917808219176	18.705479452054792	0.6917808219178082	0.0	0.0	0.0	0.0
SRR12183543_1										9.751962019184187	7.521880954687853	17.643639182249782	11.043826502599877	40.85844394922973	0.0	0.0
SRR12183543_2										14.586764848367405	9.961889997739238	50.54904240545167	2.611181087103963	0.0	0.0	0.0
SRR12183554_1										11.34725975195732	5.9880135799903	21.679484514653918	7.1797270144807035	39.89815007274995	0.0	0.0
SRR12183554_2										16.521166770595165	10.768724450911106	49.386821866555806	0.0	0.0	0.0	0.0
SRR12183559_1										8.087350554261285	5.158598090166663	32.63869332582371	12.60080387086864	29.94290980773662	0.0	0.0
SRR12183559_2										25.58050229128799	19.362023501702467	24.937917616036458	13.8040500755229	0.0	0.0	0.0
SRR12183560_1										20.60173280056969	9.211931795703604	34.762827867231074	14.115599161292874	2.2510582743205285	0.0	0.0
SRR12183560_2										24.591525893104404	19.20718439688254	21.93891680183566	0.0	0.0	0.0	0.0
SRR12183561_1										22.196322196322196	10.714840714840715	40.608650608650606	5.7213157213157215	0.0	0.0	0.0
SRR12183561_2										26.899766899766895	22.703962703962706	12.488992488992489	0.0	0.0	0.0	0.0
